;U.Católica (Chile);Colo Colo (Chile);Palestino (Chile);Audax Italiano (Chile);O'Higgins (Chile);Huachipato (Chile);Coquimbo Unido (Chile);U.La Calera (Chile);U.Española (Chile);Cobresal (Chile);Curicó Unido (Chile);Everton (Chile);Iquique (Chile);Antofagasta (Chile);U.de Chile (Chile);U.de Concepción (Chile)
1;9982.0;10.0;3.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;18.0;3781.0;2273.0;1015.0;1540.0;725.0;375.0;124.0;106.0;32.0;8.0;3.0;0.0;0.0;0.0;0.0
3;0.0;2303.0;2183.0;1467.0;1685.0;1057.0;671.0;256.0;230.0;107.0;30.0;10.0;0.0;0.0;1.0;0.0
4;0.0;1515.0;1778.0;1686.0;1665.0;1328.0;853.0;486.0;378.0;220.0;59.0;26.0;5.0;0.0;1.0;0.0
5;0.0;966.0;1391.0;1514.0;1557.0;1571.0;1181.0;669.0;597.0;335.0;147.0;62.0;5.0;3.0;2.0;0.0
6;0.0;631.0;963.0;1426.0;1272.0;1551.0;1390.0;1024.0;812.0;512.0;265.0;112.0;25.0;7.0;10.0;0.0
7;0.0;403.0;638.0;1050.0;982.0;1353.0;1578.0;1319.0;1133.0;766.0;490.0;186.0;56.0;23.0;19.0;4.0
8;0.0;216.0;424.0;812.0;582.0;1004.0;1391.0;1596.0;1495.0;1114.0;800.0;318.0;105.0;74.0;52.0;17.0
9;0.0;122.0;187.0;515.0;391.0;730.0;1088.0;1588.0;1607.0;1523.0;1089.0;608.0;217.0;161.0;147.0;27.0
10;0.0;37.0;114.0;302.0;200.0;367.0;798.0;1292.0;1476.0;1828.0;1598.0;991.0;445.0;266.0;236.0;50.0
11;0.0;15.0;33.0;150.0;89.0;210.0;418.0;875.0;1101.0;1571.0;1915.0;1588.0;809.0;574.0;473.0;179.0
12;0.0;0.0;11.0;53.0;31.0;76.0;184.0;487.0;639.0;1060.0;1634.0;2109.0;1454.0;980.0;887.0;395.0
13;0.0;1.0;1.0;7.0;5.0;22.0;55.0;197.0;286.0;573.0;1069.0;1778.0;2080.0;1688.0;1532.0;706.0
14;0.0;0.0;1.0;0.0;0.0;4.0;17.0;63.0;108.0;261.0;574.0;1284.0;2008.0;2200.0;2151.0;1329.0
15;0.0;0.0;0.0;0.0;0.0;1.0;1.0;23.0;30.0;81.0;271.0;687.0;1810.0;2312.0;2567.0;2217.0
16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;17.0;51.0;238.0;981.0;1712.0;1922.0;5076.0
