LOCAL,VISITA,GL,EM,GV
U.La Calera (Chile),Palestino (Chile),1,0,0
Coquimbo Unido (Chile),U.Católica (Chile),0,0,1
Iquique (Chile),Curicó Unido (Chile),0,1,0
U.de Chile (Chile),Cobresal (Chile),0,1,0
U.de Concepción (Chile),Everton (Chile),0,1,0
Huachipato (Chile),O'Higgins (Chile),1,0,0
U.Española (Chile),Colo Colo (Chile),0,0,1
Audax Italiano (Chile),Antofagasta (Chile),0,0,1
Antofagasta (Chile),U.Española (Chile),0,0,1
Colo Colo (Chile),U.de Concepción (Chile),1,0,0
Everton (Chile),U.La Calera (Chile),0,0,1
O'Higgins (Chile),U.de Chile (Chile),1,0,0
Curicó Unido (Chile),Coquimbo Unido (Chile),0,1,0
Cobresal (Chile),Audax Italiano (Chile),0,0,1
Palestino (Chile),Huachipato (Chile),1,0,0
U.Católica (Chile),Iquique (Chile),0,0,1
U.de Concepción (Chile),Antofagasta (Chile),0,1,0
Audax Italiano (Chile),U.Católica (Chile),0,0,1
Iquique (Chile),O'Higgins (Chile),0,0,1
U.Española (Chile),Palestino (Chile),1,0,0
U.de Chile (Chile),Huachipato (Chile),1,0,0
Coquimbo Unido (Chile),Everton (Chile),1,0,0
Curicó Unido (Chile),Colo Colo (Chile),0,0,1
U.La Calera (Chile),Cobresal (Chile),1,0,0
O'Higgins (Chile),Coquimbo Unido (Chile),1,0,0
U.de Chile (Chile),U.Española (Chile),0,0,1
Huachipato (Chile),Audax Italiano (Chile),1,0,0
Palestino (Chile),U.de Concepción (Chile),1,0,0
U.Católica (Chile),U.La Calera (Chile),1,0,0
Everton (Chile),Iquique (Chile),1,0,0
Cobresal (Chile),Colo Colo (Chile),0,1,0
Antofagasta (Chile),Curicó Unido (Chile),0,1,0
Curicó Unido (Chile),Cobresal (Chile),1,0,0
U.Española (Chile),Huachipato (Chile),1,0,0
Iquique (Chile),Palestino (Chile),0,1,0
U.de Concepción (Chile),U.de Chile (Chile),1,0,0
Audax Italiano (Chile),O'Higgins (Chile),0,1,0
Colo Colo (Chile),U.Católica (Chile),0,0,1
Coquimbo Unido (Chile),U.La Calera (Chile),0,1,0
Everton (Chile),Antofagasta (Chile),1,0,0
Everton (Chile),Cobresal (Chile),1,0,0
U.Católica (Chile),Curicó Unido (Chile),0,1,0
O'Higgins (Chile),U.Española (Chile),0,0,1
Colo Colo (Chile),Iquique (Chile),1,0,0
Palestino (Chile),Audax Italiano (Chile),0,0,1
Huachipato (Chile),Coquimbo Unido (Chile),0,1,0
U.La Calera (Chile),U.de Concepción (Chile),1,0,0
Antofagasta (Chile),U.de Chile (Chile),1,0,0
